date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20021222,2002-12-22,2002,4,12,22,December,Sunday,51,4
20021223,2002-12-23,2002,4,12,23,December,Monday,51,4
20021224,2002-12-24,2002,4,12,24,December,Tuesday,51,4
20021225,2002-12-25,2002,4,12,25,December,Wednesday,51,4
20021226,2002-12-26,2002,4,12,26,December,Thursday,51,4
20021227,2002-12-27,2002,4,12,27,December,Friday,51,4
20021228,2002-12-28,2002,4,12,28,December,Saturday,51,4
20021229,2002-12-29,2002,4,12,29,December,Sunday,52,5
20021230,2002-12-30,2002,4,12,30,December,Monday,52,5
20021231,2002-12-31,2002,4,12,31,December,Tuesday,52,5
20030101,2003-01-01,2003,1,1,1,January,Wednesday,00,1
20030102,2003-01-02,2003,1,1,2,January,Thursday,00,1
20030103,2003-01-03,2003,1,1,3,January,Friday,00,1
20030104,2003-01-04,2003,1,1,4,January,Saturday,00,1
20030105,2003-01-05,2003,1,1,5,January,Sunday,01,1
20030106,2003-01-06,2003,1,1,6,January,Monday,01,1
20030107,2003-01-07,2003,1,1,7,January,Tuesday,01,1
20030108,2003-01-08,2003,1,1,8,January,Wednesday,01,2
20030109,2003-01-09,2003,1,1,9,January,Thursday,01,2
20030110,2003-01-10,2003,1,1,10,January,Friday,01,2
20030111,2003-01-11,2003,1,1,11,January,Saturday,01,2
20030112,2003-01-12,2003,1,1,12,January,Sunday,02,2
20030113,2003-01-13,2003,1,1,13,January,Monday,02,2
20030114,2003-01-14,2003,1,1,14,January,Tuesday,02,2
20030115,2003-01-15,2003,1,1,15,January,Wednesday,02,3
20030116,2003-01-16,2003,1,1,16,January,Thursday,02,3
20030117,2003-01-17,2003,1,1,17,January,Friday,02,3
20030118,2003-01-18,2003,1,1,18,January,Saturday,02,3
20030119,2003-01-19,2003,1,1,19,January,Sunday,03,3
20030120,2003-01-20,2003,1,1,20,January,Monday,03,3
20030121,2003-01-21,2003,1,1,21,January,Tuesday,03,3
20030122,2003-01-22,2003,1,1,22,January,Wednesday,03,4
20030123,2003-01-23,2003,1,1,23,January,Thursday,03,4
20030124,2003-01-24,2003,1,1,24,January,Friday,03,4
20030125,2003-01-25,2003,1,1,25,January,Saturday,03,4
20030126,2003-01-26,2003,1,1,26,January,Sunday,04,4
20030127,2003-01-27,2003,1,1,27,January,Monday,04,4
20030128,2003-01-28,2003,1,1,28,January,Tuesday,04,4
20030129,2003-01-29,2003,1,1,29,January,Wednesday,04,5
20030130,2003-01-30,2003,1,1,30,January,Thursday,04,5
20030131,2003-01-31,2003,1,1,31,January,Friday,04,5
20030201,2003-02-01,2003,1,2,1,February,Saturday,04,1
20030202,2003-02-02,2003,1,2,2,February,Sunday,05,1
20030203,2003-02-03,2003,1,2,3,February,Monday,05,1
20030204,2003-02-04,2003,1,2,4,February,Tuesday,05,1
20030205,2003-02-05,2003,1,2,5,February,Wednesday,05,1
20030206,2003-02-06,2003,1,2,6,February,Thursday,05,1
20030207,2003-02-07,2003,1,2,7,February,Friday,05,1
20030208,2003-02-08,2003,1,2,8,February,Saturday,05,2
20030209,2003-02-09,2003,1,2,9,February,Sunday,06,2
20030210,2003-02-10,2003,1,2,10,February,Monday,06,2
20030211,2003-02-11,2003,1,2,11,February,Tuesday,06,2
20030212,2003-02-12,2003,1,2,12,February,Wednesday,06,2
20030213,2003-02-13,2003,1,2,13,February,Thursday,06,2
20030214,2003-02-14,2003,1,2,14,February,Friday,06,2
20030215,2003-02-15,2003,1,2,15,February,Saturday,06,3
20030216,2003-02-16,2003,1,2,16,February,Sunday,07,3
20030217,2003-02-17,2003,1,2,17,February,Monday,07,3
20030218,2003-02-18,2003,1,2,18,February,Tuesday,07,3
20030219,2003-02-19,2003,1,2,19,February,Wednesday,07,3
20030220,2003-02-20,2003,1,2,20,February,Thursday,07,3
20030221,2003-02-21,2003,1,2,21,February,Friday,07,3
20030222,2003-02-22,2003,1,2,22,February,Saturday,07,4
20030223,2003-02-23,2003,1,2,23,February,Sunday,08,4
20030224,2003-02-24,2003,1,2,24,February,Monday,08,4
20030225,2003-02-25,2003,1,2,25,February,Tuesday,08,4
20030226,2003-02-26,2003,1,2,26,February,Wednesday,08,4
20030227,2003-02-27,2003,1,2,27,February,Thursday,08,4
20030228,2003-02-28,2003,1,2,28,February,Friday,08,4
20030301,2003-03-01,2003,1,3,1,March,Saturday,08,1
20030302,2003-03-02,2003,1,3,2,March,Sunday,09,1
20030303,2003-03-03,2003,1,3,3,March,Monday,09,1
20030304,2003-03-04,2003,1,3,4,March,Tuesday,09,1
20030305,2003-03-05,2003,1,3,5,March,Wednesday,09,1
20030306,2003-03-06,2003,1,3,6,March,Thursday,09,1
20030307,2003-03-07,2003,1,3,7,March,Friday,09,1
20030308,2003-03-08,2003,1,3,8,March,Saturday,09,2
20030309,2003-03-09,2003,1,3,9,March,Sunday,10,2
20030310,2003-03-10,2003,1,3,10,March,Monday,10,2
20030311,2003-03-11,2003,1,3,11,March,Tuesday,10,2
20030312,2003-03-12,2003,1,3,12,March,Wednesday,10,2
20030313,2003-03-13,2003,1,3,13,March,Thursday,10,2
20030314,2003-03-14,2003,1,3,14,March,Friday,10,2
20030315,2003-03-15,2003,1,3,15,March,Saturday,10,3
20030316,2003-03-16,2003,1,3,16,March,Sunday,11,3
20030317,2003-03-17,2003,1,3,17,March,Monday,11,3
20030318,2003-03-18,2003,1,3,18,March,Tuesday,11,3
20030319,2003-03-19,2003,1,3,19,March,Wednesday,11,3
20030320,2003-03-20,2003,1,3,20,March,Thursday,11,3
20030321,2003-03-21,2003,1,3,21,March,Friday,11,3
20030322,2003-03-22,2003,1,3,22,March,Saturday,11,4
20030323,2003-03-23,2003,1,3,23,March,Sunday,12,4
20030324,2003-03-24,2003,1,3,24,March,Monday,12,4
20030325,2003-03-25,2003,1,3,25,March,Tuesday,12,4
20030326,2003-03-26,2003,1,3,26,March,Wednesday,12,4
20030327,2003-03-27,2003,1,3,27,March,Thursday,12,4
20030328,2003-03-28,2003,1,3,28,March,Friday,12,4
20030329,2003-03-29,2003,1,3,29,March,Saturday,12,5
20030330,2003-03-30,2003,1,3,30,March,Sunday,13,5
