development_id,development_name
1,SOUTH JAMAICA II
2,FHA REPOSSESSED HOUSES (GROUP I)
3,FHA REPOSSESSED HOUSES (GROUP VIII)
4,FHA REPOSSESSED HOUSES (GROUP X)
5,FHA REPOSSESSED HOUSES (GROUP IX)
6,SAMUEL (CITY)
7,HOWARD AVENUE-PARK PLACE
8,QUEENSBRIDGE NORTH
9,QUEENSBRIDGE SOUTH
10,HUNTS POINT AVENUE REHAB
11,WEST FARMS ROAD REHAB
12,FHA REPOSSESSED HOUSES (GROUP VI)
13,FHA REPOSSESSED HOUSES (GROUP II)
14,FHA REPOSSESSED HOUSES (GROUP V)
15,EAST 173RD STREET-VYSE AVENUE
16,FENIMORE-LEFFERTS
17,FHA REPOSSESSED HOUSES (GROUP IV)
18,OCEAN BAY APARTMENTS (OCEANSIDE)
19,LOWER EAST SIDE I INFILL
20,UNION AVENUE-EAST 166TH STREET
21,WSUR (SITE C) 589 AMSTERDAM AVENUE
22,RALPH AVENUE REHAB
23,FHA REPOSSESSED HOUSES (GROUP III)
24,UPACA (SITE 5)
25,LOWER EAST SIDE II
26,WSUR (BROWNSTONES)
27,HOWARD AVENUE
28,STERLING PLACE REHABS (STERLING-BUFFALO)
29,THOMAS APARTMENTS
30,PARK ROCK REHAB
31,TAFT
32,SEWARD PARK EXTENSION
33,INTERNATIONAL TOWER
34,STEBBINS AVENUE-HEWITT PLACE
35,STAPLETON
36,EAST 165TH STREET-BRYANT AVENUE
37,BAISLEY PARK
38,UPACA (SITE 6)
39,FHA REPOSSESSED HOUSES (GROUP VII)
40,LOWER EAST SIDE REHAB (GROUP 5)
41,REHAB PROGRAM (COLLEGE POINT)
42,REHAB PROGRAM (TAFT REHABS)
43,REHAB PROGRAM (WISE REHAB)
44,SHELTON HOUSE
45,LONGFELLOW AVENUE REHAB
46,CLAREMONT REHAB (GROUP 4)
47,POLO GROUNDS TOWERS
48,TWIN PARKS EAST (SITE 9)
49,STUYVESANT GARDENS II
50,SOTOMAYOR HOUSES
51,SMITH
52,CLAREMONT REHAB (GROUP 2)
53,GLEBE AVENUE-WESTCHESTER AVENUE
54,INGERSOLL
55,MELROSE
56,MARLBORO
57,154 WEST 84TH STREET
58,CONLON LIHFE TOWER
59,VAN DYKE I
60,CROWN HEIGHTS
61,MELTZER TOWER
62,RED HOOK EAST
63,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA
64,REID APARTMENTS
65,BAY VIEW
66,GOMPERS
67,ARMSTRONG I
68,WASHINGTON HEIGHTS REHAB PHASE IV (C)
69,WILLIAMSBURG
70,EDENWALD
71,MORRISANIA AIR RIGHTS
72,MANHATTANVILLE REHAB (GROUP 2)
73,FORT WASHINGTON AVENUE REHAB
74,SAMUEL (MHOP) I
75,BERRY STREET-SOUTH 9TH STREET
76,MARCY AVENUE-GREENE AVENUE SITE B
77,BUSHWICK II CDA (GROUP E)
78,BUSHWICK II (GROUPS B & D)
79,NOSTRAND
80,FRANKLIN AVENUE II CONVENTIONAL
81,BETANCES VI
82,"BETANCES III, 9A"
83,BOULEVARD
84,OCEAN HILL-BROWNSVILLE
85,WASHINGTON HEIGHTS REHAB PHASE III
86,STERLING PLACE REHABS (SAINT JOHNS-STERLING)
87,WASHINGTON HEIGHTS REHAB (GROUPS 1&2)
88,EAST NEW YORK CITY LINE
89,CLINTON
90,BUSHWICK II (GROUPS A & C)
91,HIGHBRIDGE REHABS (ANDERSON AVENUE)
92,HARRISON AVENUE REHAB (GROUP B)
93,WHITMAN
94,BELMONT-SUTTER AREA
95,TAPSCOTT STREET REHAB
96,SOUTH JAMAICA I
97,SOUTH BRONX AREA (SITE 402)
98,RANGEL
99,BOYNTON AVENUE REHAB
100,WEST FARMS SQUARE CONVENTIONAL
101,WASHINGTON HEIGHTS REHAB PHASE IV (D)
102,FRANKLIN AVENUE I CONVENTIONAL
103,EAST 004TH STREET REHAB
104,STANTON STREET
105,LOWER EAST SIDE III
106,FRANKLIN AVENUE III CONVENTIONAL
107,SAMUEL (MHOP) II
108,BRYANT AVENUE-EAST 174TH STREET
109,EAST 152ND STREET-COURTLANDT AVENUE
110,FIRST HOUSES
