location_id,borough,street,location
1,QUEENS,,BLD 20
2,FHA,SUTTER AVENUE,148-13 SUTTER AVENUE
3,FHA,FARMERS BOULEVARD,104-06 FARMERS BOULEVARD
4,FHA,135TH AVENUE,220-23 135TH AVENUE
5,FHA,135TH PLACE,131-27 135TH PLACE
6,FHA,INWOOD STREET,114-54 INWOOD STREET
7,FHA,ADELPHI STREET,182 ADELPHI STREET
8,MANHATTAN,,BLD 19
9,BROOKLYN,,BLD 05
10,QUEENS,,BLD 11
11,QUEENS,,BLD 14&16
12,FHA,116TH ROAD,150-36 116TH ROAD
13,BRONX,,BLD 10
14,BRONX,,BLD 04
15,FHA,143RD STREET,117-24 143RD STREET
16,FHA,142ND STREET,129-04 142ND STREET
17,FHA,212TH STREET,109-20 212TH STREET
18,FHA,WAVERLY AVENUE,75 WAVERLY AVENUE
19,QUEENS,,BLD 27
20,MANHATTAN,,BLD 28
21,FHA,BERRIMAN STREET,353 BERRIMAN STREET
22,FHA,TORRY AVENUE,444 TORRY AVENUE
23,FHA,197TH STREET,118-22 197TH STREET
24,BRONX,,BLD 01
25,FHA,CLAUDE AVENUE,163-34 CLAUDE AVENUE
26,FHA,NASHVILLE BOULEVARD,213-24 NASHVILLE BOULEVARD
27,FHA,FRANCIS LEWIS BOULEVARD,223-20 FRANCIS LEWIS BOULEVARD
28,MANHATTAN,,BLD 48
29,MANHATTAN,,BLD 16
30,MANHATTAN,,BLD 44
31,BROOKLYN,,BLD 14
32,FHA,102ND AVENUE,219-30 102ND AVENUE
33,FHA,INWOOD STREET,119-44 INWOOD STREET
34,FHA,109TH ROAD,190-15 109TH ROAD
35,FHA,198TH STREET,112-22 198TH STREET
36,FHA,BEACH 12TH STREET,1504 BEACH 12TH STREET
37,FHA,FOCH BOULEVARD,186-10 FOCH BOULEVARD
38,FHA,EDGEWOOD AVENUE,184-20 EDGEWOOD AVENUE
39,FHA,LINDEN BOULEVARD,138-11 LINDEN BOULEVARD
40,FHA,116TH AVENUE,198-15 116TH AVENUE
41,QUEENS,,
42,MANHATTAN,,BLD 04
43,MANHATTAN,,BLD 10
44,FHA,219TH STREET,137-24 219TH STREET
45,QUEENS,,BLD 24
46,BROOKLYN,,BLD 03
47,FHA,192ND STREET,117-37 192ND STREET
48,FHA,111TH AVENUE,171-28 111TH AVENUE
49,FHA,147TH STREET,130-34 147TH STREET
50,FHA,144TH AVENUE,180-15 144TH AVENUE
51,FHA,119TH AVENUE,190-18 119TH AVENUE
52,MANHATTAN,,BLD 30
53,FHA,,
54,MANHATTAN,,
55,FHA,EDSON AVENUE,3027 EDSON AVENUE
56,BRONX,,BLD 02
57,BRONX,,BLD 03
58,QUEENS,,BLD 15
59,MANHATTAN,,BLD 01
60,MANHATTAN,,BLD 05
61,MANHATTAN,,BLD 14
62,BRONX,,BLD 05
63,BRONX,,BLD 06
64,FHA,BEACH 59TH STREET,153 BEACH 59TH STREET
65,FHA,133RD STREET,117-22 133RD STREET
66,QUEENS,,BLD 19
67,BROOKLYN,,BLD 07
68,FHA,164TH STREET,107-29 164TH STREET
69,FHA,192ND STREET,117-11 192ND STREET
70,MANHATTAN,,BLD 24
71,FHA,115TH AVENUE,194-47 115TH AVENUE
72,FHA,130TH STREET,109-33 130TH STREET
73,MANHATTAN,,BLD 03
74,BROOKLYN,,BLD 02
75,FHA,GALWAY AVENUE,184-12 GALWAY AVENUE
76,FHA,144TH STREET,111-37 144TH STREET
77,FHA,209TH STREET,111-32 209TH STREET
78,FHA,203RD STREET,114-39 203RD STREET
79,BROOKLYN,,BLD 17
80,BROOKLYN,,BLD 04
81,MANHATTAN,,BLD 15
82,FHA,200th Street,113-30 200th Street
83,BROOKLYN,,BLD 1
84,FHA,139TH STREET,114-42 139TH STREET
85,FHA,135TH STREET,115-21 135TH STREET
86,FHA,112TH AVENUE,209-47 112TH AVENUE
87,FHA,135TH PLACE,124-18 135TH PLACE
88,FHA,145TH STREET,114-69 145TH STREET
89,QUEENS,,BLD 18
90,QUEENS,,BLD 01
91,FHA,164TH PLACE,104-14 164TH PLACE
92,FHA,218TH STREET,132-33 218TH STREET
93,FHA,145TH STREET,123-19 145TH STREET
94,BROOKLYN,,BLD 15
95,STATEN ISLAND,,BLD 07 - Community Center
96,FHA,LIVERPOOL STREET,111-21 LIVERPOOL STREET
97,FHA,177TH STREET,119-55 177TH STREET
98,FHA,169TH STREET,110-15 169TH STREET
99,FHA,212TH STREET,104-10 212TH STREET
100,FHA,110TH AVENUE,217-09 110TH AVENUE
101,FHA,120TH ROAD,188-56 120TH ROAD
102,QUEENS,,BLD 25
103,BROOKLYN,,BLD 01
104,BROOKLYN,,BLD 06
105,FHA,FARMERS BOULEVARD,116-17 FARMERS BOULEVARD
106,FHA,120TH AVENUE,134-17 120TH AVENUE
107,FHA,233RD STREET,120-56 233RD STREET
108,QUEENS,,BLD 09
109,FHA,216TH STREET,110-26 216TH STREET
110,FHA,132ND STREET,107-27 132ND STREET
111,FHA,132ND STREET,129-37 132ND STREET
112,FHA,126TH AVENUE,174-36 126TH AVENUE
113,QUEENS,,BLD 23
114,FHA,122ND AVENUE,197-22 122ND AVENUE
115,QUEENS,,BLD 21
116,FHA,191ST STREET,122-28 191ST STREET
117,MANHATTAN,,BLD 23
